SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Taumarumaru,Whakarara,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Taumarumaru,-34.99672682,173.50774402,Whakarara,-35.0629133,173.84991312,32.01273429704521,Far North,Far North,Northland,Northland,WORK
Whakapaku,Inlets Far North District,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Whakapaku,-35.04987698,173.66299855,Inlets Far North District,-35.21850133,174.15824941,48.783308429308214,Far North,,Northland,,WORK
Kaikohe,Hokianga South,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaikohe,-35.40792422,173.79767516,Hokianga South,-35.46801387,173.48438703,29.158317393900052,Far North,Far North,Northland,Northland,WORK
Kaikohe,Riverview,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaikohe,-35.40792422,173.79767516,Riverview,-35.20805962,173.9624342,26.78467541682587,Far North,Far North,Northland,Northland,WORK
Omahuta Forest-Horeke,Puketotara,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Omahuta Forest-Horeke,-35.28834375,173.61780248,Puketotara,-35.25176279999999,173.90330753,26.236493240050926,Far North,Far North,Northland,Northland,WORK
Matawaia-Taumarere,Puketotara,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Matawaia-Taumarere,-35.49406405,173.95266307,Puketotara,-35.25176279999999,173.90330753,27.311772991580575,Far North,Far North,Northland,Northland,WORK
Ngapuhi,Lake Manuwai-Kapiro,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ngapuhi,-35.4228326,173.76534835,Lake Manuwai-Kapiro,-35.18267324,173.86535013,28.2043214076138,Far North,Far North,Northland,Northland,WORK
Kaikohe,Lake Manuwai-Kapiro,-999,18,-999,6,-999,-999,-999,-999,-999,-999,27,Kaikohe,-35.40792422,173.79767516,Lake Manuwai-Kapiro,-35.18267324,173.86535013,25.788817745921673,Far North,Far North,Northland,Northland,WORK
Matawaia-Taumarere,Lake Manuwai-Kapiro,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Matawaia-Taumarere,-35.49406405,173.95266307,Lake Manuwai-Kapiro,-35.18267324,173.86535013,35.51930204571778,Far North,Far North,Northland,Northland,WORK
Moerewa,Lake Manuwai-Kapiro,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Moerewa,-35.38372176,174.02517066,Lake Manuwai-Kapiro,-35.18267324,173.86535013,26.649913241340546,Far North,Far North,Northland,Northland,WORK
