SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Te Akau,Te Kauwhata,-999,-999,-999,-999,-999,-999,36,-999,-999,-999,39,Te Akau,-37.69707947,175.04556188,Te Kauwhata,-37.4025191,175.14802087,33.97626415942634,Waikato,Waikato,EDUCATION
Tikorangi,Everett Park,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Tikorangi,-39.04099797,174.34313238,Everett Park,-39.22793305,174.18116727,25.04425232448889,New Plymouth,New Plymouth,EDUCATION
Puketitiri-Tutira,Puketapu-Eskdale,-999,-999,12,-999,-999,-999,15,-999,-999,-999,24,Puketitiri-Tutira,-39.19745874,176.64300698,Puketapu-Eskdale,-39.43779470000001,176.79125757,29.61124922265276,Hastings,Hastings,EDUCATION
Kaipara Hills,Albany Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Kaipara Hills,-36.46348663,174.48881947,Albany Central,-36.72820186,174.70483518,35.18966263821044,Rodney,Waitakere,EDUCATION
Millwater South,Auckland-University,-999,9,-999,-999,-999,-999,-999,18,-999,-999,27,Millwater South,-36.61231012,174.67000848,Auckland-University,-36.85143057,174.76906469,28.016047954007945,Rodney,Waitakere,EDUCATION
Opua (Mackenzie District),Parkside,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Opua (Mackenzie District),-43.8561873,171.06857118,Parkside,-44.40469035,171.24632921,62.61899140570246,Mackenzie,Timaru,EDUCATION
Taihape,Kimbolton North,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,15,Taihape,-39.67806733,175.79677339,Kimbolton North,-40.2074565,175.58214784,61.64343589147225,Rangitikei,Manawatu,EDUCATION
Ealing-Lowcliffe,Highfield North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ealing-Lowcliffe,-44.03656373,171.49741748,Highfield North,-44.38615156,171.22318733,44.59557407483158,Ashburton,Timaru,EDUCATION
Te Teko Lakes,Waingarara-Waimana,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,Te Teko Lakes,-38.05714893,176.80257253,Waingarara-Waimana,-38.28225314,177.02173872,31.521509191876874,Whakatane,Whakatane,EDUCATION
Maraekakaho,Taradale South,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Maraekakaho,-39.62634976,176.29699518,Taradale South,-39.54323393,176.82989073,46.592741956846716,Hastings,Hastings,EDUCATION
Paraparaumu Beach North,Petone East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Paraparaumu Beach North,-40.88107643,174.99882094,Petone East,-41.2248184,174.89062655,39.28429685814945,Kapiti Coast,Hutt city,EDUCATION
Matarau,Puketotara,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,15,Matarau,-35.66728748,174.20987157,Puketotara,-35.25176279999999,173.90330753,53.90514292894724,Whangarei,Far North,EDUCATION
Waipaoa,Te Hapara North,-999,-999,21,-999,-999,-999,-999,-999,-999,-999,30,Waipaoa,-38.34127548,177.70733968,Te Hapara North,-38.65019278,178.00054269,42.79040548409528,Gisborne,Gisborne,EDUCATION
Waipaoa,Centennial Crescent,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,Waipaoa,-38.34127548,177.70733968,Centennial Crescent,-38.66282628,178.00942769999997,44.378345633525285,Gisborne,Gisborne,EDUCATION
Te Uku,Hamilton Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Te Uku,-37.88322634,174.93821165,Hamilton Central,-37.78938082,175.28203067,31.945870192131572,Waikato,Hamilton,EDUCATION
Waipawa,Hastings Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Waipawa,-39.93975904,176.5913431,Hastings Central,-39.63962329,176.84642759,39.85989220517975,Central Hawke's Bay,Hastings city,EDUCATION
Paekakariki,Tirohanga,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,15,Paekakariki,-40.97186832,174.96895136,Tirohanga,-41.19825451,174.90584966,25.72254620443411,Kapiti Coast,Hutt city,EDUCATION
Mackenzie Lakes,Twizel,-999,-999,18,-999,-999,-999,15,-999,-999,-999,36,Mackenzie Lakes,-43.93299669,170.30583782,Twizel,-44.26855663,170.09376847,40.975387376152064,Mackenzie,Mackenzie,EDUCATION
Maoribank,Pipitea-Kaiwharawhara,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Maoribank,-41.10626518,175.10879212,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,32.84825474478566,Upper Hutt,Wellington,EDUCATION
