SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Sunnyvale West-Parrs Park,Victoria Park ,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,12,Sunnyvale West-Parrs Park,-36.9037139,174.63073132,Victoria Park,-36.84857807,174.75659124,12.763878714788074,Waitakere,Waitakere,WORK
Berhampore,Newlands South,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Berhampore,-41.3232653,174.77378029,Newlands South,-41.23454859,174.82124819,10.632455336127412,Wellington,Wellington,WORK
Mosgiel East,Campus North,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Mosgiel East,-45.86646279,170.36435466,Campus North,-45.86491215,170.51950247,12.014296108762732,Dunedin,Dunedin,WORK
New Lynn Seabrook,Botany Junction,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,New Lynn Seabrook,-36.91793217,174.6718063,Botany Junction,-36.95962843,174.89641804,20.493858393126008,Waitakere,Manukau,WORK
Murrays Bay West,Grafton,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Murrays Bay West,-36.73177873,174.74174762,Grafton,-36.86013178,174.76828549,14.466499525067475,Waitakere,Waitakere,WORK
Orewa Central,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Orewa Central,-36.58726477,174.69445280000005,Henderson Central,-36.88968581,174.62928426,34.12540498102083,Rodney,Waitakere,WORK
Burswood,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Burswood,-36.92248095,174.89743987,Parnell West,-36.85679261,174.77798053,12.892559357737696,Manukau,Waitakere,WORK
Motiti,Pongakawa,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Motiti,-37.71900661,176.34389997,Pongakawa,-37.89305456,176.49614474,23.525454679543163,Western Bay of Plenty,Western Bay of Plenty,WORK
Randwick Park East,Auckland Airport,-999,60,-999,9,-999,-999,-999,-999,-999,-999,72,Randwick Park East,-37.01986261,174.91783022,Auckland Airport,-36.9891029,174.77400859,13.221289066883486,Franklin,Manukau,WORK
Waima-Woodlands Park,Symonds Street North West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Waima-Woodlands Park,-36.94665584,174.63541623,Symonds Street North West,-36.85498533,174.76593774,15.44673230999662,Waitakere,Waitakere,WORK
Papatoetoe North,Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Papatoetoe North,-36.97093119,174.8493612,Henderson Central,-36.88968581,174.62928426,21.546987436085377,Manukau,Waitakere,WORK
Titirangi South,Epsom Central-North,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Titirangi South,-36.94580721,174.65622649,Epsom Central-North,-36.88779009,174.76992615,11.99127556931216,Waitakere,Waitakere,WORK
Woodend,Christchurch Central-North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Woodend,-43.32176017,172.66587597,Christchurch Central-North,-43.52331085,172.64031708,22.50627069907591,Waimakariri,Christchurch,WORK
Awahuri,Papaioea North,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Awahuri,-40.24996829,175.47223109,Papaioea North,-40.34721244,175.61892073,16.482776097473987,Manawatu,Palmerston North,WORK
Onepu Spring,Edgecumbe,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,33,Onepu Spring,-38.04128543,176.74994854,Edgecumbe,-37.97371477,176.82908816,10.22396373629827,Whakatane,Whakatane,WORK
Ramarama,Botany Junction,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ramarama,-37.15945142,174.93408164,Botany Junction,-36.95962843,174.89641804,22.46924085591418,Franklin,Manukau,WORK
Sunnyvale East,Kumeu-Huapai,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Sunnyvale East,-36.89955638,174.64253379,Kumeu-Huapai,-36.76998293,174.54286666,16.919388845298098,Waitakere,Rodney,WORK
Glenfield West,Silverdale Central (Auckland),-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Glenfield West,-36.78268321,174.71789792,Silverdale Central (Auckland),-36.62402013,174.67493059999995,18.053577709145188,Waitakere,Rodney,WORK
Cambridge Park-River Garden,Kirikiriroa,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Cambridge Park-River Garden,-37.90135655,175.44969234,Kirikiriroa,-37.7819599,175.27469286,20.307741767010537,Waipa,Hamilton,WORK
Oteha West,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Oteha West,-36.72206732,174.71686745,Auckland-University,-36.85143057,174.76906469,15.116931164365365,Waitakere,Waitakere,WORK
Glen Eden Rosier,Onehunga-Te Papapa Industrial,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Glen Eden Rosier,-36.91539926,174.63643274,Onehunga-Te Papapa Industrial,-36.92606886,174.79489131,14.136317142914065,Waitakere,Waitakere,WORK
Morrinsville East,Whitikahu,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Morrinsville East,-37.64774647,175.53612606,Whitikahu,-37.57098670000001,175.31718590000003,21.090200246255623,Matamata-Piako,Waikato,WORK
Waterview,Akoranga,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Waterview,-36.87948054,174.69936142,Akoranga,-36.79657499,174.75451244,10.443802326396119,Waitakere,Waitakere,WORK
