id,SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
E66,Kamo West,Whangarei Central,-999,12,33,-999,-999,-999,18,-999,-999,-999,66,Kamo West,-35.67006476,174.29507452,Whangarei Central,-35.72846995,174.32430322,7.010203931116313,Whangarei,Whangarei,Northland,Northland,EDUCATION
E67,Matapouri-Tutukaka,Whangarei Central,-999,-999,21,-999,-999,-999,21,-999,-999,-999,51,Matapouri-Tutukaka,-35.59792832,174.47802227,Whangarei Central,-35.72846995,174.32430322,20.08867474181131,Whangarei,Whangarei,Northland,Northland,EDUCATION
E68,Kiripaka,Whangarei Central,-999,-999,21,-999,-999,-999,-999,-999,-999,-999,27,Kiripaka,-35.64674958,174.40287423,Whangarei Central,-35.72846995,174.32430322,11.529319394903894,Whangarei,Whangarei,Northland,Northland,EDUCATION
E69,Kamo East,Whangarei Central,-999,9,45,-999,-999,-999,15,-999,-999,-999,78,Kamo East,-35.67747272,174.30980246,Whangarei Central,-35.72846995,174.32430322,5.81983797969554,Whangarei,Whangarei,Northland,Northland,EDUCATION
E70,Granfield Reserve,Whangarei Central,-999,6,45,-999,-999,-999,15,-999,-999,-999,75,Granfield Reserve,-35.69015065,174.29505823,Whangarei Central,-35.72846995,174.32430322,5.012745439983346,Whangarei,Whangarei,Northland,Northland,EDUCATION
E71,Kamo Central,Whangarei Central,-999,-999,27,-999,-999,-999,9,-999,-999,-999,48,Kamo Central,-35.68486255,174.30491552,Whangarei Central,-35.72846995,174.32430322,5.155238306013422,Whangarei,Whangarei,Northland,Northland,EDUCATION
E72,Whau Valley,Whangarei Central,-999,18,69,-999,-999,21,-999,-999,-999,-999,117,Whau Valley,-35.70520079,174.29580182,Whangarei Central,-35.72846995,174.32430322,3.649061931857997,Whangarei,Whangarei,Northland,Northland,EDUCATION
E73,Tikipunga North,Whangarei Central,-999,9,39,-999,-999,-999,9,-999,-999,-999,63,Tikipunga North,-35.68085136,174.32304772,Whangarei Central,-35.72846995,174.32430322,5.296159046253138,Whangarei,Whangarei,Northland,Northland,EDUCATION
E74,Pukenui,Whangarei Central,-999,9,18,-999,-999,-999,48,-999,-999,-999,78,Pukenui,-35.74644668,174.25502298,Whangarei Central,-35.72846995,174.32430322,6.564764737998407,Whangarei,Whangarei,Northland,Northland,EDUCATION
E75,Otangarei,Whangarei Central,-999,-999,24,-999,-999,18,-999,6,-999,-999,60,Otangarei,-35.69329776,174.31769963,Whangarei Central,-35.72846995,174.32430322,3.9561543655065967,Whangarei,Whangarei,Northland,Northland,EDUCATION
E76,Tikipunga South,Whangarei Central,-999,9,129,-999,-999,-999,12,-999,-999,-999,165,Tikipunga South,-35.69457731,174.33166497,Whangarei Central,-35.72846995,174.32430322,3.8268529249105576,Whangarei,Whangarei,Northland,Northland,EDUCATION
E78,Abbey Caves-Glenbervie,Whangarei Central,-999,15,42,-999,-999,-999,21,-999,-999,-999,81,Abbey Caves-Glenbervie,-35.70399025,174.36122936,Whangarei Central,-35.72846995,174.32430322,4.303856086763443,Whangarei,Whangarei,Northland,Northland,EDUCATION
E80,Maunu-Horahora,Whangarei Central,-999,18,45,-999,-999,9,57,-999,-999,-999,132,Maunu-Horahora,-35.73757136,174.29037127,Whangarei Central,-35.72846995,174.32430322,3.2256429060483325,Whangarei,Whangarei,Northland,Northland,EDUCATION
E84,Raumanga,Whangarei Central,-999,6,105,-999,-999,6,9,18,-999,6,156,Raumanga,-35.74968804,174.29896302,Whangarei Central,-35.72846995,174.32430322,3.2859201489749075,Whangarei,Whangarei,Northland,Northland,EDUCATION
E87,Ngunguru,Whangarei Central,-999,6,12,-999,-999,-999,12,-999,-999,-999,36,Ngunguru,-35.62462501,174.51474389,Whangarei Central,-35.72846995,174.32430322,20.717972821814662,Whangarei,Whangarei,Northland,Northland,EDUCATION
E88,Otaika-Portland,Whangarei Central,-999,-999,18,-999,-999,-999,42,-999,-999,-999,66,Otaika-Portland,-35.78104758,174.28575580000003,Whangarei Central,-35.72846995,174.32430322,6.802897803573011,Whangarei,Whangarei,Northland,Northland,EDUCATION
E89,Oakleigh-Mangapai,Whangarei Central,-999,9,30,-999,-999,-999,15,-999,-999,-999,57,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.023876321544968,Whangarei,Whangarei,Northland,Northland,EDUCATION
E90,Pataua,Whangarei Central,-999,-999,21,-999,-999,-999,48,-999,-999,-999,72,Pataua,-35.69695195,174.42794425,Whangarei Central,-35.72846995,174.32430322,9.992026417103027,Whangarei,Whangarei,Northland,Northland,EDUCATION
E91,Onerahi Park,Whangarei Central,-999,-999,21,-999,-999,-999,36,-999,-999,-999,60,Onerahi Park,-35.75246425,174.37259829,Whangarei Central,-35.72846995,174.32430322,5.1105460568716286,Whangarei,Whangarei,Northland,Northland,EDUCATION
E92,Sherwood Rise,Whangarei Central,-999,9,48,-999,-999,-999,63,-999,-999,-999,120,Sherwood Rise,-35.7486834,174.3618074,Whangarei Central,-35.72846995,174.32430322,4.063236352929272,Whangarei,Whangarei,Northland,Northland,EDUCATION
E93,Onerahi,Whangarei Central,-999,9,24,-999,-999,-999,60,9,-999,-999,111,Onerahi,-35.76617497,174.363527,Whangarei Central,-35.72846995,174.32430322,5.487079761140008,Whangarei,Whangarei,Northland,Northland,EDUCATION
E94,Parua Bay,Whangarei Central,-999,9,24,-999,-999,-999,60,-999,-999,-999,93,Parua Bay,-35.76001844,174.42812257,Whangarei Central,-35.72846995,174.32430322,10.0048181178566,Whangarei,Whangarei,Northland,Northland,EDUCATION
E95,Bream Bay,Whangarei Central,-999,-999,6,-999,-999,-999,6,-999,-999,-999,12,Bream Bay,-35.91496801,174.38390319,Whangarei Central,-35.72846995,174.32430322,21.422544221598155,Whangarei,Whangarei,Northland,Northland,EDUCATION
E96,Marsden Bay,Whangarei Central,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,18,Marsden Bay,-35.84344323,174.48686898,Whangarei Central,-35.72846995,174.32430322,19.45425793236089,Whangarei,Whangarei,Northland,Northland,EDUCATION
E97,Ruakaka,Whangarei Central,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,12,Ruakaka,-35.87869623,174.45727498,Whangarei Central,-35.72846995,174.32430322,20.56300094624227,Whangarei,Whangarei,Northland,Northland,EDUCATION
E98,Bream Head,Whangarei Central,-999,-999,6,-999,-999,-999,33,-999,-999,-999,42,Bream Head,-35.81913112,174.53591875,Whangarei Central,-35.72846995,174.32430322,21.58928310104837,Whangarei,Whangarei,Northland,Northland,EDUCATION
E99,Waipu,Whangarei Central,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,9,Waipu,-36.03330412,174.45082085,Whangarei Central,-35.72846995,174.32430322,35.76122204449049,Whangarei,Whangarei,Northland,Northland,EDUCATION
E100,Kaipara Coastal,Whangarei Central,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12,Kaipara Coastal,-35.72900181,173.65124289,Whangarei Central,-35.72846995,174.32430322,60.75505575069115,Kaipara,Whangarei,Northland,Northland,EDUCATION
E101,Maungaru,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,Maungaru,-35.87696287,173.97089153,Whangarei Central,-35.72846995,174.32430322,35.894867178148345,Kaipara,Whangarei,Northland,Northland,EDUCATION
E102,Dargaville,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Dargaville,-35.93920158,173.86524045,Whangarei Central,-35.72846995,174.32430322,47.556874150119036,Kaipara,Whangarei,Northland,Northland,EDUCATION
E103,Ruawai-Matakohe,Whangarei Central,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Ruawai-Matakohe,-36.08477059,174.14649781,Whangarei Central,-35.72846995,174.32430322,42.73287395865936,Kaipara,Whangarei,Northland,Northland,EDUCATION
E105,Oruru-Parapara,Taemaro-Oruaiti,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Oruru-Parapara,-35.03331749,173.46127559,Taemaro-Oruaiti,-35.02535123,173.57890377,10.746952779478598,Far North,Far North,Northland,Northland,EDUCATION
E106,Taumarumaru,Taemaro-Oruaiti,-999,-999,-999,-999,-999,-999,27,-999,-999,-999,27,Taumarumaru,-34.99672682,173.50774402,Taemaro-Oruaiti,-35.02535123,173.57890377,7.220173614004296,Far North,Far North,Northland,Northland,EDUCATION
E108,Whakapaku,Taemaro-Oruaiti,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,21,Whakapaku,-35.04987698,173.66299855,Taemaro-Oruaiti,-35.02535123,173.57890377,8.127494108428289,Far North,Far North,Northland,Northland,EDUCATION
E109,Taumarumaru,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Taumarumaru,-34.99672682,173.50774402,Kerikeri Central,-35.22507309,173.95096304,47.64532231290496,Far North,Far North,Northland,Northland,EDUCATION
E110,Whakarara,Kerikeri Central,-999,-999,18,-999,-999,-999,21,-999,-999,-999,39,Whakarara,-35.0629133,173.84991312,Kerikeri Central,-35.22507309,173.95096304,20.23729059643323,Far North,Far North,Northland,Northland,EDUCATION
E111,Kaeo,Kerikeri Central,-999,-999,12,-999,-999,-999,24,-999,-999,-999,39,Kaeo,-35.15410315,173.74331968,Kerikeri Central,-35.22507309,173.95096304,20.453097400660372,Far North,Far North,Northland,Northland,EDUCATION
E112,Omahuta Forest-Horeke,Kerikeri Central,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,Omahuta Forest-Horeke,-35.28834375,173.61780248,Kerikeri Central,-35.22507309,173.95096304,31.05792396360032,Far North,Far North,Northland,Northland,EDUCATION
E113,Lake Manuwai-Kapiro,Kerikeri Central,-999,6,78,-999,-999,-999,99,-999,-999,-999,186,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kerikeri Central,-35.22507309,173.95096304,9.095869218805976,Far North,Far North,Northland,Northland,EDUCATION
