id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W39964,Murchison-Nelson Lakes,Murchison-Nelson Lakes,WORK_AT_HOME,267,EDUCATION,Murchison-Nelson Lakes,-41.88459953,172.4650349,Murchison-Nelson Lakes,-41.88459953,172.4650349,0.0,Tasman,Tasman,Nelson,Nelson,1
W39991,Wakefield Rural,Wakefield Rural,WORK_AT_HOME,204,EDUCATION,Wakefield Rural,-41.49668834,173.12155468,Wakefield Rural,-41.49668834,173.12155468,0.0,Tasman,Tasman,Nelson,Nelson,1
W48462,Oamaru North Orana Park,Oamaru North Orana Park,WORK_AT_HOME,129,EDUCATION,Oamaru North Orana Park,-45.08058565,170.97765366,Oamaru North Orana Park,-45.08058565,170.97765366,0.0,Waitaki,Waitaki,Otago,Otago,9
W40319,Marlborough Sounds West,Marlborough Sounds West,WORK_AT_HOME,252,EDUCATION,Marlborough Sounds West,-41.25619764,173.62635385,Marlborough Sounds West,-41.25619764,173.62635385,0.0,Marlborough,Marlborough,Marlborough,Marlborough,1
W40613,Springlands,Springlands,WORK_AT_HOME,207,EDUCATION,Springlands,-41.50422292,173.93617831,Springlands,-41.50422292,173.93617831,0.0,Marlborough,Marlborough,Marlborough,Marlborough,17
W40462,Upper Wairau ,Upper Wairau ,WORK_AT_HOME,408,EDUCATION,Upper Wairau,-41.71793751,173.30406264,Upper Wairau,-41.71793751,173.30406264,0.0,Marlborough,Marlborough,Marlborough,Marlborough,1
W40578,Awatere,Awatere,WORK_AT_HOME,333,EDUCATION,Awatere,-42.09611412,173.2944504,Awatere,-42.09611412,173.2944504,0.0,Marlborough,Marlborough,Marlborough,Marlborough,1
W40706,Kaikoura Ranges,Kaikoura Ranges,WORK_AT_HOME,336,EDUCATION,Kaikoura Ranges,-42.19710797,173.64408497,Kaikoura Ranges,-42.19710797,173.64408497,0.0,Kaikoura,Kaikoura,Canterbury,Canterbury,1
W40709,Kaikoura,Kaikoura,WORK_AT_HOME,249,EDUCATION,Kaikoura,-42.4127248,173.67667951,Kaikoura,-42.4127248,173.67667951,0.0,Kaikoura,Kaikoura,Canterbury,Canterbury,1
W40710,Karamea,Karamea,WORK_AT_HOME,147,EDUCATION,Karamea,-41.29229662,172.26451215,Karamea,-41.29229662,172.26451215,0.0,Buller,Buller,West Coast,West Coast,1
W40715,Buller Coalfields,Buller Coalfields,WORK_AT_HOME,66,EDUCATION,Buller Coalfields,-41.7281935,171.86681611,Buller Coalfields,-41.7281935,171.86681611,0.0,Buller,Buller,West Coast,West Coast,1
W40724,Westport South,Westport South,WORK_AT_HOME,162,EDUCATION,Westport South,-41.76073382,171.60950019,Westport South,-41.76073382,171.60950019,0.0,Buller,Buller,West Coast,West Coast,3
W40735,Charleston (Buller District),Charleston (Buller District),WORK_AT_HOME,114,EDUCATION,Charleston (Buller District),-41.92259823,171.58436369999995,Charleston (Buller District),-41.92259823,171.58436369999995,0.0,Buller,Buller,West Coast,West Coast,1
W40736,Inangahua,Inangahua,WORK_AT_HOME,204,EDUCATION,Inangahua,-42.17196452,171.99565878,Inangahua,-42.17196452,171.99565878,0.0,Buller,Buller,West Coast,West Coast,1
W40743,Greymouth Central,Greymouth Central,WORK_AT_HOME,66,EDUCATION,Greymouth Central,-42.45704831,171.19924986,Greymouth Central,-42.45704831,171.19924986,0.0,Grey,Grey,West Coast,West Coast,8
W40757,Reefton,Reefton,WORK_AT_HOME,66,EDUCATION,Reefton,-42.11509177,171.86010893,Reefton,-42.11509177,171.86010893,0.0,Buller,Buller,West Coast,West Coast,1
