id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W39238,Kokotau,Kokotau,OTHER,9,EDUCATION,Kokotau,-41.0381449,175.58145467,Kokotau,-41.0381449,175.58145467,0.0,Carterton,Carterton,Wellington,Wellington,1
W39444,Tauherenikau,Tauherenikau,OTHER,9,EDUCATION,Tauherenikau,-41.06390044,175.36907465,Tauherenikau,-41.06390044,175.36907465,0.0,South Wairarapa,South Wairarapa,Wellington,Wellington,1
W39457,Aorangi Forest,Aorangi Forest,OTHER,18,EDUCATION,Aorangi Forest,-41.37490301,175.45793738,Aorangi Forest,-41.37490301,175.45793738,0.0,South Wairarapa,South Wairarapa,Wellington,Wellington,1
W39460,Kahutara,Kahutara,OTHER,21,EDUCATION,Kahutara,-41.33273164,175.08046255,Kahutara,-41.33273164,175.08046255,0.0,South Wairarapa,South Wairarapa,Wellington,Wellington,1
W39465,Golden Bay/Mohua,Golden Bay/Mohua,OTHER,18,EDUCATION,Golden Bay/Mohua,-40.86935481,172.57195655,Golden Bay/Mohua,-40.86935481,172.57195655,0.0,Tasman,Tasman,Nelson,Nelson,1
W39699,Toi Toi,Nelson Central-Trafalgar,OTHER,9,EDUCATION,Toi Toi,-41.28540651,173.26170072,Nelson Central-Trafalgar,-41.27273863,173.28210878,2.2118888949460187,Nelson,Nelson,Nelson,Nelson,9
W39851,Golden Downs,Golden Downs,OTHER,9,EDUCATION,Golden Downs,-41.50890922,172.78826525,Golden Downs,-41.50890922,172.78826525,0.0,Tasman,Tasman,Nelson,Nelson,1
W39964,Murchison-Nelson Lakes,Murchison-Nelson Lakes,OTHER,9,EDUCATION,Murchison-Nelson Lakes,-41.88459953,172.4650349,Murchison-Nelson Lakes,-41.88459953,172.4650349,0.0,Tasman,Tasman,Nelson,Nelson,1
W40238,Lower Waitaki,Lower Waitaki,OTHER,15,EDUCATION,Lower Waitaki,-45.00239341,171.02035686,Lower Waitaki,-45.00239341,171.02035686,0.0,Waitaki,Waitaki,Otago,Otago,1
W40319,Marlborough Sounds West,Marlborough Sounds West,OTHER,12,EDUCATION,Marlborough Sounds West,-41.25619764,173.62635385,Marlborough Sounds West,-41.25619764,173.62635385,0.0,Marlborough,Marlborough,Marlborough,Marlborough,1
W40568,Witherlea West,Blenheim Central,OTHER,6,EDUCATION,Witherlea West,-41.5400542,173.94535630000001,Blenheim Central,-41.51522392,173.96254647,3.1097994455976967,Marlborough,Marlborough,Marlborough,Marlborough,2
W40706,Kaikoura Ranges,Kaikoura Ranges,OTHER,6,EDUCATION,Kaikoura Ranges,-42.19710797,173.64408497,Kaikoura Ranges,-42.19710797,173.64408497,0.0,Kaikoura,Kaikoura,Canterbury,Canterbury,1
W40709,Kaikoura,Kaikoura,OTHER,6,EDUCATION,Kaikoura,-42.4127248,173.67667951,Kaikoura,-42.4127248,173.67667951,0.0,Kaikoura,Kaikoura,Canterbury,Canterbury,1
W40710,Karamea,Karamea,OTHER,12,EDUCATION,Karamea,-41.29229662,172.26451215,Karamea,-41.29229662,172.26451215,0.0,Buller,Buller,West Coast,West Coast,1
W40736,Inangahua,Inangahua,OTHER,15,EDUCATION,Inangahua,-42.17196452,171.99565878,Inangahua,-42.17196452,171.99565878,0.0,Buller,Buller,West Coast,West Coast,1
W40763,Nelson Creek,Nelson Creek,OTHER,6,EDUCATION,Nelson Creek,-42.43145547,171.68813975,Nelson Creek,-42.43145547,171.68813975,0.0,Grey,Grey,West Coast,West Coast,1
W40764,Barrytown,Barrytown,OTHER,6,EDUCATION,Barrytown,-42.31021412,171.43339948,Barrytown,-42.31021412,171.43339948,0.0,Grey,Grey,West Coast,West Coast,1
W42780,Awatea North,Islington-Hornby Industrial,OTHER,6,EDUCATION,Awatea North,-43.55272616,172.53849075,Islington-Hornby Industrial,-43.552606299999994,172.50828849,2.43396288652725,Christchurch,Christchurch,Canterbury,Canterbury,5
W45112,Lake Brunner,Lake Brunner,OTHER,9,EDUCATION,Lake Brunner,-42.66149957,171.69470271,Lake Brunner,-42.66149957,171.69470271,0.0,Grey,Grey,West Coast,West Coast,1
W45126,Hokitika Valley-Otira,Hokitika Valley-Otira,OTHER,18,EDUCATION,Hokitika Valley-Otira,-42.87811794,171.30442912,Hokitika Valley-Otira,-42.87811794,171.30442912,0.0,Westland,Westland,West Coast,West Coast,1
W45130,Whataroa-Harihari,Whataroa-Harihari,OTHER,12,EDUCATION,Whataroa-Harihari,-43.25841799,170.43905254,Whataroa-Harihari,-43.25841799,170.43905254,0.0,Westland,Westland,West Coast,West Coast,1
W45135,Amuri,Amuri,OTHER,114,EDUCATION,Amuri,-42.64453066,172.95870738,Amuri,-42.64453066,172.95870738,0.0,Hurunui,Hurunui,Canterbury,Canterbury,1
