SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Milford West,Murrays Bay West,SCHOOL_BUS,9,EDUCATION,Milford West,-36.77129839,174.76019462,Murrays Bay West,-36.73177873,174.74174762,4.691667890729537,Waitakere,Waitakere
Upper Clutha Valley,Upper Clutha Valley,SCHOOL_BUS,15,EDUCATION,Upper Clutha Valley,-44.68728145,169.2943196,Upper Clutha Valley,-44.68728145,169.2943196,0.0,Queenstown-Lakes,Queenstown-Lakes
St James,Hautapu,SCHOOL_BUS,6,EDUCATION,St James,-37.73572255,175.28384883,Hautapu,-37.87894521,175.44370869,21.233508733258624,Hamilton,Waipa
Cooks Beach-Ferry Landing,Whitianga South,SCHOOL_BUS,15,EDUCATION,Cooks Beach-Ferry Landing,-36.84060376,175.74775563,Whitianga South,-36.8336234,175.69356396,4.88479957981761,Thames-Coromandel,Thames-Coromandel
Awahuri,Awapuni South ,SCHOOL_BUS,15,EDUCATION,Awahuri,-40.24996829,175.47223109,Awapuni South,-40.37784493,175.59343472,17.54405065166608,Manawatu,Palmerston North
Eyrewell,Southbrook,SCHOOL_BUS,12,EDUCATION,Eyrewell,-43.39853546,172.28813683,Southbrook,-43.32718073,172.59765801,26.249786355286805,Waimakariri,Waimakariri
Greenmeadows West,Bluff Hill,SCHOOL_BUS,18,EDUCATION,Greenmeadows West,-39.51591342,176.85346584,Bluff Hill,-39.48081517,176.91538913,6.592526911945188,Hastings,Napier
Totara Heights,Manurewa East,SCHOOL_BUS,9,EDUCATION,Totara Heights,-37.0016393,174.90024498,Manurewa East,-37.02583832,174.90610927,2.7407218498878114,Franklin,Franklin
Shotover Country,Warren Park,SCHOOL_BUS,48,EDUCATION,Shotover Country,-45.00679253,168.77572546,Warren Park,-45.02264371,168.66173004,9.132480971396614,Queenstown-Lakes,Queenstown-Lakes
Mangaoraka,Strandon,SCHOOL_BUS,12,EDUCATION,Mangaoraka,-39.13469225,174.16388593,Strandon,-39.05369313,174.09475657,10.803314796661136,New Plymouth,New Plymouth
Sumner,Deans Bush,SCHOOL_BUS,15,EDUCATION,Sumner,-43.57493364,172.7635625,Deans Bush,-43.52473249,172.59447189,14.726219885820653,Christchurch,Christchurch
Douglas,Stratford Central,SCHOOL_BUS,21,EDUCATION,Douglas,-39.24071688,174.62972523,Stratford Central,-39.3375964,174.28910646,31.23050046972456,Stratford,Stratford
Hedgehope,Winton,SCHOOL_BUS,42,EDUCATION,Hedgehope,-46.12903119,168.56584014,Winton,-46.14486071,168.32382512,18.73040010405002,Southland,Southland
Taumarunui North,Ngapuke,SCHOOL_BUS,45,EDUCATION,Taumarunui North,-38.86254762,175.24467641,Ngapuke,-38.85395468,175.37813224,11.595047527402876,Ruapehu,Ruapehu
Minden,Bethlehem North,SCHOOL_BUS,6,EDUCATION,Minden,-37.77273465,176.01540781,Bethlehem North,-37.69058759,176.10753065,12.209443260851145,Western Bay of Plenty,Western Bay of Plenty
Mangawhio,College Estate,SCHOOL_BUS,9,EDUCATION,Mangawhio,-39.61067493,174.74556695,College Estate,-39.9305007,175.03470499,43.305601626669166,South Taranaki,Wanganui
Auckland Airport,Harania South,SCHOOL_BUS,9,EDUCATION,Auckland Airport,-36.9891029,174.77400859,Harania South,-36.96750095,174.81463304,4.334985765930921,Manukau,Manukau
Kelson,Avalon East,SCHOOL_BUS,18,EDUCATION,Kelson,-41.17271184,174.94294237,Avalon East,-41.19581347,174.94455461,2.5723248099734577,Hutt city,Hutt city
Pahoia,Tauranga South,SCHOOL_BUS,39,EDUCATION,Pahoia,-37.70302699,175.96812271,Tauranga South,-37.7084259,176.15681961,16.61112762942791,Western Bay of Plenty,Western Bay of Plenty
Chertsey,Allenton East,SCHOOL_BUS,36,EDUCATION,Chertsey,-43.82506248,171.96646486,Allenton East,-43.89118299,171.75756446,18.291842680989355,Ashburton,Ashburton
Elsdon-Takapuwahia,Waitangirua,SCHOOL_BUS,12,EDUCATION,Elsdon-Takapuwahia,-41.13204408,174.80949296,Waitangirua,-41.12984631,174.87999879,5.910124689190464,Porirua,Porirua
Abbotsford,Seddon Park,SCHOOL_BUS,12,EDUCATION,Abbotsford,-45.89815819,170.42263162,Seddon Park,-45.87666031,170.35643822,5.653570361334268,Dunedin,Dunedin
Kaikohe,Okaihau,SCHOOL_BUS,45,EDUCATION,Kaikohe,-35.40792422,173.79767516,Okaihau,-35.28661159,173.79081555,13.503688546081333,Far North,Far North
Upper Moutere,Lower Moutere,SCHOOL_BUS,6,EDUCATION,Upper Moutere,-41.24935169,172.85150896,Lower Moutere,-41.16044272,172.98050868,14.635671024724346,Tasman,Tasman
Cape Rodney,Warkworth West,SCHOOL_BUS,69,EDUCATION,Cape Rodney,-36.25433822,174.62638047,Warkworth West,-36.38893228,174.65160073,15.135776544052398,Rodney,Rodney
