SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Rotokauri ,Te Rapa South,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Rotokauri,-37.79646444,175.22051366,Te Rapa South,-37.76141322,175.24114614,4.29869104221333,Waikato,Hamilton
Murrays Bay West,Wairau Valley ,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Murrays Bay West,-36.73177873,174.74174762,Wairau Valley,-36.77355541,174.73453173,4.689628604274921,Waitakere,Waitakere
Otara East,East Tamaki,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Otara East,-36.95494224,174.88625064,East Tamaki,-36.93823242,174.88712871,1.8596849942728728,Manukau,Manukau
Orewa Central,North Harbour,DRIVE_COMPANY_VEHICLE,30,EDUCATION,Orewa Central,-36.58726477,174.69445280000005,North Harbour,-36.74630474,174.71502975,17.77941646839905,Rodney,Waitakere
Edendale-Woodlands,Wyndham-Catlins,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Edendale-Woodlands,-46.3334381,168.67007113,Wyndham-Catlins,-46.47283276,168.99193119999995,29.14319528987156,Southland,Southland
Grey Lynn West,Ponsonby East,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Grey Lynn West,-36.8644209,174.73374895,Ponsonby East,-36.85137951,174.74159318,1.6093354531130477,Waitakere,Waitakere
Mount Roskill White Swan,Rosebank Peninsula,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Mount Roskill White Swan,-36.91484469,174.72598544,Rosebank Peninsula,-36.88086056,174.67580445,5.8473579669501055,Waitakere,Waitakere
Bell Block East,Fitzroy-Glen Avon,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Bell Block East,-39.0162041,174.17002393,Fitzroy-Glen Avon,-39.07427128,174.12360445,7.600006439142379,New Plymouth,New Plymouth
Paraparaumu Beach North,Gracefield,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Paraparaumu Beach North,-40.88107643,174.99882094,Gracefield,-41.24017306,174.91075379,40.60668007061923,Kapiti Coast,Hutt city
Takanini South,Penrose,DRIVE_COMPANY_VEHICLE,21,EDUCATION,Takanini South,-37.04157360000001,174.93888309,Penrose,-36.91999811,174.82258914,17.013546668779647,Franklin,Waitakere
